epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,1281.71,0.51336,0.40833,0.87082,0.9945,0.90909,0.9057,0.70718,0.80142,0.53223,0.99827,0.000515,0.000515,0.000515
77,1298.78,0.52881,0.42034,0.90274,0.99449,0.90909,0.90706,0.71743,0.78644,0.53189,0.98493,0.0004952,0.0004952,0.0004952
78,1315.84,0.52458,0.40842,0.89248,0.99449,0.90909,0.90569,0.69268,0.77807,0.52138,0.98449,0.0004754,0.0004754,0.0004754
79,1332.78,0.55237,0.4271,0.89603,0.99429,0.90909,0.90575,0.7187,0.76709,0.52461,0.98507,0.0004556,0.0004556,0.0004556
80,1349.41,0.48455,0.40837,0.88871,0.99434,0.90909,0.90586,0.70348,0.78215,0.50884,1.01462,0.0004358,0.0004358,0.0004358
81,1366.36,0.47679,0.39284,0.85908,0.99413,0.90909,0.90597,0.68997,0.79521,0.5058,1.02288,0.000416,0.000416,0.000416
82,1383.49,0.49582,0.38722,0.84218,0.99378,0.90909,0.90602,0.70155,0.82513,0.51443,1.0326,0.0003962,0.0003962,0.0003962
83,1400.22,0.53754,0.40393,0.86934,0.99335,0.90909,0.90601,0.68806,0.86129,0.52408,1.04869,0.0003764,0.0003764,0.0003764
84,1417.33,0.49431,0.3729,0.87794,0.99371,0.90909,0.90607,0.68814,0.86284,0.54422,1.06401,0.0003566,0.0003566,0.0003566
85,1434.38,0.48339,0.40213,0.87226,0.99399,0.90909,0.90612,0.6882,0.85706,0.55257,1.06402,0.0003368,0.0003368,0.0003368
86,1450.73,0.47883,0.37821,0.85067,0.99431,0.90909,0.90614,0.69968,0.83732,0.55956,1.06558,0.000317,0.000317,0.000317
87,1467.44,0.47674,0.41524,0.83551,0.99432,0.90909,0.9061,0.6942,0.82949,0.54452,1.06318,0.0002972,0.0002972,0.0002972
88,1484.57,0.47131,0.37726,0.84844,0.98709,0.90909,0.90614,0.6936,0.82592,0.51784,1.06369,0.0002774,0.0002774,0.0002774
89,1501.99,0.4094,0.36515,0.85574,0.98734,0.90909,0.90619,0.69432,0.82808,0.51042,1.06961,0.0002576,0.0002576,0.0002576
90,1519.01,0.43021,0.36684,0.85352,0.98747,0.90909,0.90763,0.69456,0.84657,0.50356,1.0742,0.0002378,0.0002378,0.0002378
91,1535.74,0.40949,0.3327,0.81424,0.98653,0.90909,0.91856,0.68758,0.85561,0.48748,1.08292,0.000218,0.000218,0.000218
92,1552.27,0.4392,0.38221,0.84083,0.98734,0.90909,0.93105,0.68903,0.84993,0.49309,1.08949,0.0001982,0.0001982,0.0001982
93,1568.76,0.40031,0.34571,0.85403,0.98919,0.90909,0.93038,0.70525,0.8381,0.48277,1.08249,0.0001784,0.0001784,0.0001784
94,1585.88,0.3921,0.35402,0.83444,0.99147,0.90909,0.90671,0.69157,0.81395,0.46517,1.06283,0.0001586,0.0001586,0.0001586
95,1602.98,0.45738,0.47002,0.87599,0.99469,0.90909,0.90679,0.69444,0.78875,0.46308,1.03667,0.0001388,0.0001388,0.0001388
96,1619.96,0.42525,0.3636,0.86547,0.9947,0.90909,0.90703,0.71749,0.77153,0.45014,1.02458,0.000119,0.000119,0.000119
97,1637.12,0.39945,0.35426,0.82625,0.9948,0.90909,0.90703,0.7111,0.76194,0.44713,1.01235,9.92e-05,9.92e-05,9.92e-05
98,1654.1,0.37078,0.31948,0.81966,0.99485,0.90909,0.95,0.71562,0.75706,0.44824,0.99806,7.94e-05,7.94e-05,7.94e-05
99,1671.2,0.35694,0.33148,0.83894,0.99479,0.90909,0.94308,0.72323,0.75872,0.44573,0.99232,5.96e-05,5.96e-05,5.96e-05
100,1687.6,0.35839,0.33561,0.84539,0.99486,0.90909,0.94036,0.72301,0.76057,0.44507,0.98997,3.98e-05,3.98e-05,3.98e-05
